match_id,match_number,date,group,player_id,player_name,team_id,team,opponent_id,position,is_starter,prior_squad_selections,prior_appearances,appearance_rate,starter_rate,expected_minutes,goals_per90_smoothed,attempts_per90_smoothed,on_target_per90_smoothed,recent_attempts_per90,recent_on_target_per90,team_goals_per_match,team_xg_per_match,team_attempts_per_match,opponent_goals_allowed_per_match,opponent_xg_allowed_per_match,opponent_sot_allowed_per_match,days_rest,knockout,scored,scored_any,goals,appeared,actual_minutes,actual_attempts,actual_on_target,baseline_probability
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_ronwen_williams,Ronwen WILLIAMS,RSA,South Africa,MEX,GK,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,90.0,0,0,0.08505277126996902
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_teboho_mokoena,Teboho MOKOENA,RSA,South Africa,MEX,MF,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,90.0,0,0,0.08505277126996902
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_aubrey_modiba,Aubrey MODIBA,RSA,South Africa,MEX,DF,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,77.0,1,1,0.08505277126996902
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_lyle_foster,Lyle FOSTER,RSA,South Africa,MEX,FW,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,56.0,1,0,0.08505277126996902
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_sphephelo_sithole,Sphephelo SITHOLE,RSA,South Africa,MEX,MF,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,90.0,0,0,0.08505277126996902
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_mbekezeli_mbokazi,Mbekezeli MBOKAZI,RSA,South Africa,MEX,DF,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,90.0,1,1,0.08505277126996902
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_iqraam_rayners,Iqraam RAYNERS,RSA,South Africa,MEX,FW,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,76.0,0,0,0.08505277126996902
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_nkosinathi_sibisi,Nkosinathi SIBISI,RSA,South Africa,MEX,DF,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,90.0,0,0,0.08505277126996902
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_khuliso_mudau,Khuliso MUDAU,RSA,South Africa,MEX,DF,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,90.0,0,0,0.08505277126996902
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_ime_okon,Ime OKON,RSA,South Africa,MEX,DF,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,90.0,0,0,0.08505277126996902
