row_id,match_id,date,round,matchweek,team,opponent,goals_for,goals_against,is_listed_home,team_is_host,opponent_is_host,attendance,venue,referee,is_knockout,went_to_extra_time,went_to_pens
73,37,2026-06-21,Group stage,2.0,Spain,Saudi Arabia,4,0,True,False,False,68239,Mercedes-Benz Stadium,Raphael Claus,False,False,False
74,37,2026-06-21,Group stage,2.0,Saudi Arabia,Spain,0,4,False,False,False,68239,Mercedes-Benz Stadium,Raphael Claus,False,False,False
75,38,2026-06-21,Group stage,2.0,Belgium,IR Iran,0,0,True,False,False,70317,SoFi Stadium,Darío Herrera,False,False,False
76,38,2026-06-21,Group stage,2.0,IR Iran,Belgium,0,0,False,False,False,70317,SoFi Stadium,Darío Herrera,False,False,False
77,39,2026-06-21,Group stage,2.0,Uruguay,Cabo Verde,2,2,True,False,False,64003,Hard Rock Stadium,Espen Eskås,False,False,False
78,39,2026-06-21,Group stage,2.0,Cabo Verde,Uruguay,2,2,False,False,False,64003,Hard Rock Stadium,Espen Eskås,False,False,False
79,40,2026-06-21,Group stage,2.0,New Zealand,Egypt,1,3,True,False,False,52497,BC Place Stadium,Omar Mohamed Al Ali,False,False,False
80,40,2026-06-21,Group stage,2.0,Egypt,New Zealand,3,1,False,False,False,52497,BC Place Stadium,Omar Mohamed Al Ali,False,False,False
81,41,2026-06-22,Group stage,2.0,Argentina,Austria,2,0,True,False,False,70649,AT&T Stadium,Amin Omar,False,False,False
82,41,2026-06-22,Group stage,2.0,Austria,Argentina,0,2,False,False,False,70649,AT&T Stadium,Amin Omar,False,False,False
83,42,2026-06-22,Group stage,2.0,France,Iraq,3,0,True,False,False,68324,Lincoln Financial Field,Drew Fischer,False,False,False
84,42,2026-06-22,Group stage,2.0,Iraq,France,0,3,False,False,False,68324,Lincoln Financial Field,Drew Fischer,False,False,False
85,43,2026-06-22,Group stage,2.0,Norway,Senegal,3,2,True,False,False,80663,MetLife Stadium,Wilton Sampaio,False,False,False
86,43,2026-06-22,Group stage,2.0,Senegal,Norway,2,3,False,False,False,80663,MetLife Stadium,Wilton Sampaio,False,False,False
87,44,2026-06-22,Group stage,2.0,Jordan,Algeria,1,2,True,False,False,68371,Levi's Stadium,Slavko Vinčič,False,False,False
88,44,2026-06-22,Group stage,2.0,Algeria,Jordan,2,1,False,False,False,68371,Levi's Stadium,Slavko Vinčič,False,False,False
89,45,2026-06-23,Group stage,2.0,Portugal,Uzbekistan,5,0,True,False,False,68777,Reliant Stadium,Jalal Jayed,False,False,False
90,45,2026-06-23,Group stage,2.0,Uzbekistan,Portugal,0,5,False,False,False,68777,Reliant Stadium,Jalal Jayed,False,False,False
91,46,2026-06-23,Group stage,2.0,England,Ghana,0,0,True,False,False,63983,Gillette Stadium,Said Martínez,False,False,False
92,46,2026-06-23,Group stage,2.0,Ghana,England,0,0,False,False,False,63983,Gillette Stadium,Said Martínez,False,False,False
93,47,2026-06-23,Group stage,2.0,Panama,Croatia,0,1,True,False,False,43036,BMO Field,Pierre Ghislain Atcho,False,False,False
94,47,2026-06-23,Group stage,2.0,Croatia,Panama,1,0,False,False,False,43036,BMO Field,Pierre Ghislain Atcho,False,False,False
95,48,2026-06-23,Group stage,2.0,Colombia,Congo DR,1,0,True,False,False,45358,Estadio Akron,Maurizio Mariani,False,False,False
96,48,2026-06-23,Group stage,2.0,Congo DR,Colombia,0,1,False,False,False,45358,Estadio Akron,Maurizio Mariani,False,False,False
97,49,2026-06-24,Group stage,3.0,Switzerland,Canada,2,1,True,False,True,52497,BC Place Stadium,Ramon Abatti,False,False,False
98,49,2026-06-24,Group stage,3.0,Canada,Switzerland,1,2,False,True,False,52497,BC Place Stadium,Ramon Abatti,False,False,False
99,50,2026-06-24,Group stage,3.0,Bosnia–Herz,Qatar,3,1,True,False,False,66925,Lumen Field,Jesús Valenzuela,False,False,False
100,50,2026-06-24,Group stage,3.0,Qatar,Bosnia–Herz,1,3,False,False,False,66925,Lumen Field,Jesús Valenzuela,False,False,False
101,51,2026-06-24,Group stage,3.0,Scotland,Brazil,0,3,True,False,False,64478,Hard Rock Stadium,César Arturo Ramos,False,False,False
102,51,2026-06-24,Group stage,3.0,Brazil,Scotland,3,0,False,False,False,64478,Hard Rock Stadium,César Arturo Ramos,False,False,False
103,52,2026-06-24,Group stage,3.0,Morocco,Haiti,4,2,True,False,False,68239,Mercedes-Benz Stadium,Danny Makkelie,False,False,False
104,52,2026-06-24,Group stage,3.0,Haiti,Morocco,2,4,False,False,False,68239,Mercedes-Benz Stadium,Danny Makkelie,False,False,False
105,53,2026-06-24,Group stage,3.0,South Africa,Korea Republic,1,0,True,False,False,51243,Estadio BBVA,Facundo Tello,False,False,False
106,53,2026-06-24,Group stage,3.0,Korea Republic,South Africa,0,1,False,False,False,51243,Estadio BBVA,Facundo Tello,False,False,False
107,54,2026-06-24,Group stage,3.0,Czechia,Mexico,0,3,True,False,True,80824,Estadio Banorte,Yael Falcón,False,False,False
108,54,2026-06-24,Group stage,3.0,Mexico,Czechia,3,0,False,True,False,80824,Estadio Banorte,Yael Falcón,False,False,False
109,55,2026-06-25,Group stage,3.0,Curaçao,Côte d'Ivoire,0,2,True,False,False,68324,Lincoln Financial Field,Glenn Nyberg,False,False,False
110,55,2026-06-25,Group stage,3.0,Côte d'Ivoire,Curaçao,2,0,False,False,False,68324,Lincoln Financial Field,Glenn Nyberg,False,False,False
111,56,2026-06-25,Group stage,3.0,Ecuador,Germany,2,1,True,False,False,80663,MetLife Stadium,Tori Penso,False,False,False
112,56,2026-06-25,Group stage,3.0,Germany,Ecuador,1,2,False,False,False,80663,MetLife Stadium,Tori Penso,False,False,False
113,57,2026-06-25,Group stage,3.0,Tunisia,Netherlands,1,3,True,False,False,68391,GEHA Field at Arrowhead Stadium,Katia García,False,False,False
114,57,2026-06-25,Group stage,3.0,Netherlands,Tunisia,3,1,False,False,False,68391,GEHA Field at Arrowhead Stadium,Katia García,False,False,False
115,58,2026-06-25,Group stage,3.0,Japan,Sweden,1,1,True,False,False,70137,AT&T Stadium,Iván Barton,False,False,False
116,58,2026-06-25,Group stage,3.0,Sweden,Japan,1,1,False,False,False,70137,AT&T Stadium,Iván Barton,False,False,False
117,59,2026-06-25,Group stage,3.0,Türkiye,USA,3,2,True,False,True,70492,SoFi Stadium,Mustapha Ghorbal,False,False,False
118,59,2026-06-25,Group stage,3.0,USA,Türkiye,2,3,False,True,False,70492,SoFi Stadium,Mustapha Ghorbal,False,False,False
119,60,2026-06-25,Group stage,3.0,Paraguay,Australia,0,0,True,False,False,68827,Levi's Stadium,Clément Turpin,False,False,False
120,60,2026-06-25,Group stage,3.0,Australia,Paraguay,0,0,False,False,False,68827,Levi's Stadium,Clément Turpin,False,False,False
121,61,2026-06-26,Group stage,3.0,Norway,France,1,4,True,False,False,64146,Gillette Stadium,Michael Oliver,False,False,False
122,61,2026-06-26,Group stage,3.0,France,Norway,4,1,False,False,False,64146,Gillette Stadium,Michael Oliver,False,False,False
123,62,2026-06-26,Group stage,3.0,Senegal,Iraq,5,0,True,False,False,43036,BMO Field,Anthony Taylor,False,False,False
124,62,2026-06-26,Group stage,3.0,Iraq,Senegal,0,5,False,False,False,43036,BMO Field,Anthony Taylor,False,False,False
125,63,2026-06-26,Group stage,3.0,Uruguay,Spain,0,1,True,False,False,45065,Estadio Akron,Ismail Elfath,False,False,False
126,63,2026-06-26,Group stage,3.0,Spain,Uruguay,1,0,False,False,False,45065,Estadio Akron,Ismail Elfath,False,False,False
127,64,2026-06-26,Group stage,3.0,Cabo Verde,Saudi Arabia,0,0,True,False,False,68278,Reliant Stadium,François Letexier,False,False,False
128,64,2026-06-26,Group stage,3.0,Saudi Arabia,Cabo Verde,0,0,False,False,False,68278,Reliant Stadium,François Letexier,False,False,False
129,65,2026-06-26,Group stage,3.0,Egypt,IR Iran,1,1,True,False,False,66925,Lumen Field,Szymon Marciniak,False,False,False
130,65,2026-06-26,Group stage,3.0,IR Iran,Egypt,1,1,False,False,False,66925,Lumen Field,Szymon Marciniak,False,False,False
131,66,2026-06-26,Group stage,3.0,New Zealand,Belgium,1,5,True,False,False,52497,BC Place Stadium,Adham Makhadmeh,False,False,False
132,66,2026-06-26,Group stage,3.0,Belgium,New Zealand,5,1,False,False,False,52497,BC Place Stadium,Adham Makhadmeh,False,False,False
133,67,2026-06-27,Group stage,3.0,Croatia,Ghana,2,1,True,False,False,68324,Lincoln Financial Field,Drew Fischer,False,False,False
134,67,2026-06-27,Group stage,3.0,Ghana,Croatia,1,2,False,False,False,68324,Lincoln Financial Field,Drew Fischer,False,False,False
135,68,2026-06-27,Group stage,3.0,Panama,England,0,2,True,False,False,80663,MetLife Stadium,Abdulrahman Ibrahim Al Jassim,False,False,False
136,68,2026-06-27,Group stage,3.0,England,Panama,2,0,False,False,False,80663,MetLife Stadium,Abdulrahman Ibrahim Al Jassim,False,False,False
137,69,2026-06-27,Group stage,3.0,Congo DR,Uzbekistan,3,1,True,False,False,68239,Mercedes-Benz Stadium,Felix Zwayer,False,False,False
138,69,2026-06-27,Group stage,3.0,Uzbekistan,Congo DR,1,3,False,False,False,68239,Mercedes-Benz Stadium,Felix Zwayer,False,False,False
139,70,2026-06-27,Group stage,3.0,Colombia,Portugal,0,0,True,False,False,64478,Hard Rock Stadium,Alireza Faghani,False,False,False
140,70,2026-06-27,Group stage,3.0,Portugal,Colombia,0,0,False,False,False,64478,Hard Rock Stadium,Alireza Faghani,False,False,False
141,71,2026-06-27,Group stage,3.0,Jordan,Argentina,1,3,True,False,False,70649,AT&T Stadium,István Kovács,False,False,False
142,71,2026-06-27,Group stage,3.0,Argentina,Jordan,3,1,False,False,False,70649,AT&T Stadium,István Kovács,False,False,False
143,72,2026-06-27,Group stage,3.0,Algeria,Austria,3,3,True,False,False,69045,GEHA Field at Arrowhead Stadium,Ilgiz Tantashev,False,False,False
144,72,2026-06-27,Group stage,3.0,Austria,Algeria,3,3,False,False,False,69045,GEHA Field at Arrowhead Stadium,Ilgiz Tantashev,False,False,False
145,73,2026-06-28,Round of 32,,South Africa,Canada,0,1,True,False,True,69237,SoFi Stadium,João Pinheiro,True,False,False
146,73,2026-06-28,Round of 32,,Canada,South Africa,1,0,False,True,False,69237,SoFi Stadium,João Pinheiro,True,False,False
147,74,2026-06-29,Round of 32,,Brazil,Japan,2,1,True,False,False,68777,Reliant Stadium,Maurizio Mariani,True,False,False
148,74,2026-06-29,Round of 32,,Japan,Brazil,1,2,False,False,False,68777,Reliant Stadium,Maurizio Mariani,True,False,False
149,75,2026-06-29,Round of 32,,Germany,Paraguay,1,1,True,False,False,63945,Gillette Stadium,Jalal Jayed,True,True,True
150,75,2026-06-29,Round of 32,,Paraguay,Germany,1,1,False,False,False,63945,Gillette Stadium,Jalal Jayed,True,True,True
151,76,2026-06-29,Round of 32,,Netherlands,Morocco,1,1,True,False,False,51243,Estadio BBVA,Wilton Sampaio,True,True,True
152,76,2026-06-29,Round of 32,,Morocco,Netherlands,1,1,False,False,False,51243,Estadio BBVA,Wilton Sampaio,True,True,True
153,77,2026-06-30,Round of 32,,Côte d'Ivoire,Norway,1,2,True,False,False,69665,AT&T Stadium,Jesús Valenzuela,True,False,False
154,77,2026-06-30,Round of 32,,Norway,Côte d'Ivoire,2,1,False,False,False,69665,AT&T Stadium,Jesús Valenzuela,True,False,False
155,78,2026-06-30,Round of 32,,France,Sweden,3,0,True,False,False,80663,MetLife Stadium,Danny Makkelie,True,False,False
156,78,2026-06-30,Round of 32,,Sweden,France,0,3,False,False,False,80663,MetLife Stadium,Danny Makkelie,True,False,False
157,79,2026-06-30,Round of 32,,Mexico,Ecuador,2,0,True,True,False,80824,Estadio Banorte,Slavko Vinčič,True,False,False
158,79,2026-06-30,Round of 32,,Ecuador,Mexico,0,2,False,False,True,80824,Estadio Banorte,Slavko Vinčič,True,False,False
159,80,2026-07-01,Round of 32,,England,Congo DR,2,1,True,False,False,68239,Mercedes-Benz Stadium,Adham Makhadmeh,True,False,False
160,80,2026-07-01,Round of 32,,Congo DR,England,1,2,False,False,False,68239,Mercedes-Benz Stadium,Adham Makhadmeh,True,False,False
161,81,2026-07-01,Round of 32,,Belgium,Senegal,3,2,True,False,False,66925,Lumen Field,Said Martínez,True,True,False
162,81,2026-07-01,Round of 32,,Senegal,Belgium,2,3,False,False,False,66925,Lumen Field,Said Martínez,True,True,False
163,82,2026-07-01,Round of 32,,USA,Bosnia–Herz,2,0,True,True,False,68827,Levi's Stadium,Raphael Claus,True,False,False
164,82,2026-07-01,Round of 32,,Bosnia–Herz,USA,0,2,False,False,True,68827,Levi's Stadium,Raphael Claus,True,False,False
165,83,2026-07-02,Round of 32,,Spain,Austria,3,0,True,False,False,70492,SoFi Stadium,Glenn Nyberg,True,False,False
166,83,2026-07-02,Round of 32,,Austria,Spain,0,3,False,False,False,70492,SoFi Stadium,Glenn Nyberg,True,False,False
