match_id,round,matchweek,date,kickoff_local,home_team,away_team,home_goals,away_goals,pens_home,pens_away,goal_difference,total_goals,attendance,venue,referee,went_to_extra_time,went_to_pens,is_knockout,home_is_host,away_is_host
85,Round of 32,,2026-07-02,20:00,Switzerland,Algeria,2,0,,,2,2,52497,BC Place Stadium,Yael Falcón,False,False,True,False,False
86,Round of 32,,2026-07-03,13:00,Australia,Egypt,1,1,2.0,4.0,0,2,70244,AT&T Stadium,Gustavo Tejera,True,True,True,False,False
87,Round of 32,,2026-07-03,18:00,Argentina,Cabo Verde,3,2,,,1,5,64478,Hard Rock Stadium,Drew Fischer,True,False,True,False,False
88,Round of 32,,2026-07-03,20:30,Colombia,Ghana,1,0,,,1,1,69045,GEHA Field at Arrowhead Stadium,Clément Turpin,False,False,True,False,False
89,Round of 16,,2026-07-04,12:00,Canada,Morocco,0,3,,,-3,3,68777,Reliant Stadium,Michael Oliver,False,False,True,True,False
90,Round of 16,,2026-07-04,17:00,Paraguay,France,0,1,,,-1,1,68324,Lincoln Financial Field,Ilgiz Tantashev,False,False,True,False,False
91,Round of 16,,2026-07-05,16:00,Brazil,Norway,1,2,,,-1,3,80663,MetLife Stadium,Ismail Elfath,False,False,True,False,False
92,Round of 16,,2026-07-05,19:00,Mexico,England,2,3,,,-1,5,80824,Estadio Banorte,Alireza Faghani,False,False,True,True,False
93,Round of 16,,2026-07-06,14:00,Portugal,Spain,0,1,,,-1,1,70649,AT&T Stadium,Anthony Taylor,False,False,True,False,False
94,Round of 16,,2026-07-06,17:00,USA,Belgium,1,4,,,-3,5,66925,Lumen Field,Adham Makhadmeh,False,False,True,True,False
95,Round of 16,,2026-07-07,12:00,Argentina,Egypt,3,2,,,1,5,68239,Mercedes-Benz Stadium,François Letexier,False,False,True,False,False
96,Round of 16,,2026-07-07,13:00,Switzerland,Colombia,0,0,4.0,3.0,0,0,52497,BC Place Stadium,Iván Barton,True,True,True,False,False
97,Quarter-finals,,2026-07-09,16:00,France,Morocco,2,0,,,2,2,63811,Gillette Stadium,Facundo Tello,False,False,True,False,False
98,Quarter-finals,,2026-07-10,12:00,Spain,Belgium,2,1,,,1,3,70492,SoFi Stadium,Michael Oliver,False,False,True,False,False
99,Quarter-finals,,2026-07-11,17:00,Norway,England,1,2,,,-1,3,64478,Hard Rock Stadium,Clément Turpin,True,False,True,False,False
100,Quarter-finals,,2026-07-11,20:00,Argentina,Switzerland,3,1,,,2,4,69045,GEHA Field at Arrowhead Stadium,João Pinheiro,True,False,True,False,False
101,Semi-finals,,2026-07-14,14:00,France,Spain,0,2,,,-2,2,70176,AT&T Stadium,Iván Barton,False,False,True,False,False
102,Semi-finals,,2026-07-15,15:00,England,Argentina,1,2,,,-1,3,68239,Mercedes-Benz Stadium,Ismail Elfath,False,False,True,False,False
103,Third-place match,,2026-07-18,17:00,France,England,4,6,,,-2,10,64478,Hard Rock Stadium,Jesús Valenzuela,False,False,True,False,False
104,Final,,2026-07-19,15:00,Spain,Argentina,1,0,,,1,1,80663,MetLife Stadium,Slavko Vinčič,True,False,True,False,False
