match_id,date,stage_id,team_id,opponent_id,goals_for,goals_against,xg,xg_against,result_type,is_home,possession_pct,total_shots,shots_on_target,corners,fouls,offsides,saves,data_source,team_name,confederation,opponent_name,stage_name,is_knockout,result,win,outcome,opp_own_goals,goals_from_play,conversion_rate
10,2026-06-14,1,22,21,2,2,1.82,1.95,Regular,0,39,9,5,4,7,1,3,fifa.com,Japan,AFC,Netherlands,Group Stage,False,D,0,Not win,0,2,22.22222222222222
11,2026-06-14,1,20,19,0,1,0.95,1.1,Regular,0,49,12,1,5,14,3,3,fifa.com,Ecuador,CONMEBOL,Côte d'Ivoire,Group Stage,False,L,0,Not win,0,0,0.0
12,2026-06-14,1,24,23,1,5,0.78,3.12,Regular,0,51,6,2,2,8,1,6,fifa.com,Tunisia,CAF,Sweden,Group Stage,False,L,0,Not win,0,1,16.666666666666664
13,2026-06-15,1,30,29,0,0,0.35,2.15,Regular,0,26,6,1,1,1,3,7,fifa.com,Cabo Verde,CAF,Spain,Group Stage,False,D,0,Not win,0,0,0.0
14,2026-06-15,1,26,25,1,1,1.12,1.58,Regular,0,43,14,3,7,15,1,2,fifa.com,Egypt,CAF,Belgium,Group Stage,False,D,0,Not win,0,1,7.142857142857142
15,2026-06-15,1,32,31,1,1,1.76,0.85,Regular,0,63,27,10,14,6,1,2,fifa.com,Uruguay,CONMEBOL,Saudi Arabia,Group Stage,False,D,0,Not win,0,1,3.7037037037037033
16,2026-06-15,1,28,27,2,2,1.2,1.88,Regular,0,45,14,8,1,8,1,7,fifa.com,New Zealand,OFC,IR Iran,Group Stage,False,D,0,Not win,0,2,14.285714285714285
17,2026-06-16,1,34,33,1,3,1.05,2.44,Regular,0,44,6,2,4,9,1,4,fifa.com,Senegal,CAF,France,Group Stage,False,L,0,Not win,0,1,16.666666666666664
18,2026-06-16,1,36,35,4,1,2.85,0.68,Regular,0,57,11,5,4,13,0,1,fifa.com,Norway,UEFA,Iraq,Group Stage,False,W,1,Win,1,3,27.27272727272727
19,2026-06-16,1,38,37,0,3,0.42,2.65,Regular,0,51,7,1,2,8,1,4,fifa.com,Algeria,CAF,Argentina,Group Stage,False,L,0,Not win,0,0,0.0
20,2026-06-16,1,40,39,1,3,0.88,1.98,Regular,0,33,11,3,3,7,1,6,fifa.com,Jordan,AFC,Austria,Group Stage,False,L,0,Not win,0,1,9.090909090909092
21,2026-06-17,1,42,41,1,1,1.15,1.78,Regular,0,25,8,2,4,10,2,3,fifa.com,Congo DR,CAF,Portugal,Group Stage,False,D,0,Not win,0,1,12.5
22,2026-06-17,1,46,45,2,4,1.64,2.92,Regular,0,43,10,5,2,12,3,6,fifa.com,Croatia,UEFA,England,Group Stage,False,L,0,Not win,0,2,20.0
23,2026-06-17,1,48,47,0,1,0.75,1.3,Regular,0,55,11,4,2,11,2,1,fifa.com,Panama,CONCACAF,Ghana,Group Stage,False,L,0,Not win,0,0,0.0
